,fema_region,totalResStructures,totalResStructuresSfha,percent_sfha,percent_growth_property_values,average_property_value_2026,totalLosses,multiple_loss_properties,percent_multiple_loss
0,1.0,4333642.0,117599.0,2.7136297829862275,90.31943388584672,557385.7422954515,20598,6371,0.14701260510212888
1,2.0,10514263.0,237932.0,2.2629451060906502,65.15040598166964,341182.62138358183,52029,17378,0.16528024836358005
2,3.0,7119884.0,256649.0,3.604679514441527,75.63719666592628,527231.1105484815,98305,29898,0.41992257177223674
3,4.0,24678204.0,1524178.0,6.176211202403546,90.89045696458085,316004.5413560456,173597,58212,0.23588426451130723
4,5.0,18977924.0,297429.0,1.5672367536090879,86.23955330291278,268701.3434657406,26824,8833,0.04654355239276962
5,6.0,13914303.0,730415.0,5.249382595736201,67.54227909276932,276742.6221352064,219256,68496,0.4922704356804649
6,7.0,5902577.0,123665.0,2.095101851276146,80.87957331204085,243792.5293010333,16753,4449,0.07537385789291694
7,8.0,4444742.0,67229.0,1.512551234694837,88.12086490061621,505305.6723248169,1557,615,0.01383657364139471
8,9.0,14528071.0,385999.0,2.6569184580664564,84.00744067785395,714969.3000946192,6941,2127,0.014640622282201128
9,10.0,4913269.0,98099.0,1.9966136598667812,103.83165684531154,537945.1935657432,4511,1485,0.03022427634228861
